x, y, probability density 
-175.5, 175.5, 2.91358E-06 
-166.5, 175.5, 8.88889E-06 
-157.5, 175.5, 1.67654E-05 
-148.5, 175.5, 1.84444E-05 
-139.5, 175.5, 2.14815E-05 
-130.5, 175.5, 2.39259E-05 
-121.5, 175.5, 2.62963E-05 
-112.5, 175.5, 2.77037E-05 
-103.5, 175.5, 2.98765E-05 
-94.5, 175.5, 3.16049E-05 
-85.5, 175.5, 3.58765E-05 
-76.5, 175.5, 3.04691E-05 
-67.5, 175.5, 1.93580E-05 
-58.5, 175.5, 4.74074E-06 
-49.5, 175.5, 6.66667E-07 
-40.5, 175.5, 9.87654E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 3.95062E-07 
58.5, 175.5, 2.07407E-06 
67.5, 175.5, 3.43210E-06 
76.5, 175.5, 2.14815E-06 
85.5, 175.5, 4.93827E-07 
94.5, 175.5, 1.72840E-07 
103.5, 175.5, 2.46914E-08 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 4.93827E-08 
175.5, 175.5, 4.69136E-07 
-175.5, 166.5, 5.20988E-06 
-166.5, 166.5, 1.46667E-05 
-157.5, 166.5, 2.65432E-05 
-148.5, 166.5, 3.43704E-05 
-139.5, 166.5, 4.09383E-05 
-130.5, 166.5, 4.56543E-05 
-121.5, 166.5, 5.12840E-05 
-112.5, 166.5, 5.37284E-05 
-103.5, 166.5, 5.86173E-05 
-94.5, 166.5, 6.64938E-05 
-85.5, 166.5, 7.62469E-05 
-76.5, 166.5, 7.07407E-05 
-67.5, 166.5, 4.82222E-05 
-58.5, 166.5, 1.87654E-05 
-49.5, 166.5, 3.67901E-06 
-40.5, 166.5, 9.87654E-08 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 1.72840E-07 
58.5, 166.5, 1.70370E-06 
67.5, 166.5, 3.50617E-06 
76.5, 166.5, 3.11111E-06 
85.5, 166.5, 1.08642E-06 
94.5, 166.5, 9.87654E-08 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 1.97531E-07 
175.5, 166.5, 9.87654E-07 
-175.5, 157.5, 5.87654E-06 
-166.5, 157.5, 1.86420E-05 
-157.5, 157.5, 3.13827E-05 
-148.5, 157.5, 4.21481E-05 
-139.5, 157.5, 5.07901E-05 
-130.5, 157.5, 6.31111E-05 
-121.5, 157.5, 6.82469E-05 
-112.5, 157.5, 7.06420E-05 
-103.5, 157.5, 7.94074E-05 
-94.5, 157.5, 9.20741E-05 
-85.5, 157.5, 1.10000E-04 
-76.5, 157.5, 1.08716E-04 
-67.5, 157.5, 8.69136E-05 
-58.5, 157.5, 4.02469E-05 
-49.5, 157.5, 1.13580E-05 
-40.5, 157.5, 1.16049E-06 
-31.5, 157.5, 1.23457E-07 
-22.5, 157.5, 2.46914E-08 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 2.71605E-07 
58.5, 157.5, 1.53086E-06 
67.5, 157.5, 4.59259E-06 
76.5, 157.5, 3.28395E-06 
85.5, 157.5, 1.55556E-06 
94.5, 157.5, 1.72840E-07 
103.5, 157.5, 4.93827E-08 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 4.93827E-08 
166.5, 157.5, 4.93827E-08 
175.5, 157.5, 9.87654E-07 
-175.5, 148.5, 4.12346E-06 
-166.5, 148.5, 1.40247E-05 
-157.5, 148.5, 2.77778E-05 
-148.5, 148.5, 3.58025E-05 
-139.5, 148.5, 4.50617E-05 
-130.5, 148.5, 6.04938E-05 
-121.5, 148.5, 6.80988E-05 
-112.5, 148.5, 7.16049E-05 
-103.5, 148.5, 7.78765E-05 
-94.5, 148.5, 9.69383E-05 
-85.5, 148.5, 1.09235E-04 
-76.5, 148.5, 1.22988E-04 
-67.5, 148.5, 1.06741E-04 
-58.5, 148.5, 6.02469E-05 
-49.5, 148.5, 1.93580E-05 
-40.5, 148.5, 3.43210E-06 
-31.5, 148.5, 3.20988E-07 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 2.46914E-08 
49.5, 148.5, 2.46914E-08 
58.5, 148.5, 8.14815E-07 
67.5, 148.5, 3.70370E-06 
76.5, 148.5, 3.82716E-06 
85.5, 148.5, 1.28395E-06 
94.5, 148.5, 2.46914E-07 
103.5, 148.5, 2.46914E-08 
112.5, 148.5, 0.00000E+00 
121.5, 148.5, 0.00000E+00 
130.5, 148.5, 0.00000E+00 
139.5, 148.5, 0.00000E+00 
148.5, 148.5, 0.00000E+00 
157.5, 148.5, 0.00000E+00 
166.5, 148.5, 7.40741E-08 
175.5, 148.5, 8.14815E-07 
-175.5, 139.5, 3.28395E-06 
-166.5, 139.5, 1.00988E-05 
-157.5, 139.5, 1.84691E-05 
-148.5, 139.5, 2.79012E-05 
-139.5, 139.5, 3.44198E-05 
-130.5, 139.5, 4.43210E-05 
-121.5, 139.5, 4.89383E-05 
