x, y, probability density 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 1.23457E-08 
58.5, 157.5, 7.40741E-08 
67.5, 157.5, 6.54321E-07 
76.5, 157.5, 2.04938E-06 
85.5, 157.5, 3.45679E-06 
94.5, 157.5, 4.38272E-06 
103.5, 157.5, 5.37037E-06 
112.5, 157.5, 6.72840E-06 
121.5, 157.5, 7.06173E-06 
130.5, 157.5, 5.34568E-06 
139.5, 157.5, 3.41975E-06 
148.5, 157.5, 1.41975E-06 
157.5, 157.5, 7.77778E-07 
166.5, 157.5, 2.46914E-07 
175.5, 157.5, 6.17284E-08 
-175.5, 148.5, 0.00000E+00 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 1.23457E-08 
-85.5, 148.5, 3.70370E-08 
-76.5, 148.5, 5.43210E-07 
-67.5, 148.5, 1.64198E-06 
-58.5, 148.5, 1.97531E-06 
-49.5, 148.5, 1.56790E-06 
-40.5, 148.5, 3.82716E-07 
-31.5, 148.5, 4.93827E-08 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 6.17284E-08 
67.5, 148.5, 3.08642E-07 
76.5, 148.5, 1.11111E-06 
85.5, 148.5, 3.12346E-06 
94.5, 148.5, 4.38272E-06 
103.5, 148.5, 5.96296E-06 
112.5, 148.5, 6.85185E-06 
121.5, 148.5, 7.03704E-06 
130.5, 148.5, 5.12346E-06 
139.5, 148.5, 2.50617E-06 
148.5, 148.5, 1.03704E-06 
157.5, 148.5, 3.70370E-07 
166.5, 148.5, 7.40741E-08 
175.5, 148.5, 2.46914E-08 
-175.5, 139.5, 0.00000E+00 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
-139.5, 139.5, 0.00000E+00 
-130.5, 139.5, 0.00000E+00 
-121.5, 139.5, 0.00000E+00 
-112.5, 139.5, 0.00000E+00 
-103.5, 139.5, 0.00000E+00 
-94.5, 139.5, 1.23457E-08 
-85.5, 139.5, 1.72840E-07 
-76.5, 139.5, 6.04938E-07 
-67.5, 139.5, 2.17284E-06 
-58.5, 139.5, 3.66667E-06 
-49.5, 139.5, 2.38272E-06 
-40.5, 139.5, 9.87654E-07 
-31.5, 139.5, 1.85185E-07 
-22.5, 139.5, 0.00000E+00 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 0.00000E+00 
49.5, 139.5, 0.00000E+00 
58.5, 139.5, 2.46914E-08 
67.5, 139.5, 2.09877E-07 
76.5, 139.5, 1.22222E-06 
85.5, 139.5, 3.16049E-06 
94.5, 139.5, 4.61728E-06 
103.5, 139.5, 6.13580E-06 
112.5, 139.5, 7.46914E-06 
121.5, 139.5, 6.97531E-06 
130.5, 139.5, 5.83951E-06 
139.5, 139.5, 2.82716E-06 
148.5, 139.5, 8.51852E-07 
157.5, 139.5, 2.34568E-07 
166.5, 139.5, 6.17284E-08 
175.5, 139.5, 1.23457E-08 
-175.5, 130.5, 0.00000E+00 
-166.5, 130.5, 0.00000E+00 
-157.5, 130.5, 0.00000E+00 
-148.5, 130.5, 0.00000E+00 
-139.5, 130.5, 0.00000E+00 
-130.5, 130.5, 0.00000E+00 
-121.5, 130.5, 0.00000E+00 
-112.5, 130.5, 0.00000E+00 
-103.5, 130.5, 0.00000E+00 
-94.5, 130.5, 0.00000E+00 
-85.5, 130.5, 7.40741E-08 
-76.5, 130.5, 5.80247E-07 
-67.5, 130.5, 2.08642E-06 
-58.5, 130.5, 4.22222E-06 
-49.5, 130.5, 3.40741E-06 
-40.5, 130.5, 1.59259E-06 
-31.5, 130.5, 4.56790E-07 
-22.5, 130.5, 3.70370E-08 
-13.5, 130.5, 0.00000E+00 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 0.00000E+00 
58.5, 130.5, 1.23457E-08 
67.5, 130.5, 1.97531E-07 
76.5, 130.5, 1.08642E-06 
85.5, 130.5, 2.96296E-06 
94.5, 130.5, 4.51852E-06 
103.5, 130.5, 7.04938E-06 
112.5, 130.5, 7.95062E-06 
121.5, 130.5, 7.91358E-06 
130.5, 130.5, 5.33333E-06 
139.5, 130.5, 2.43210E-06 
148.5, 130.5, 8.88889E-07 
157.5, 130.5, 1.85185E-07 
166.5, 130.5, 6.17284E-08 
175.5, 130.5, 0.00000E+00 
-175.5, 121.5, 0.00000E+00 
-166.5, 121.5, 0.00000E+00 
-157.5, 121.5, 0.00000E+00 
-148.5, 121.5, 0.00000E+00 
-139.5, 121.5, 0.00000E+00 
-130.5, 121.5, 0.00000E+00 
-121.5, 121.5, 0.00000E+00 
-112.5, 121.5, 0.00000E+00 
-103.5, 121.5, 0.00000E+00 
-94.5, 121.5, 1.23457E-08 
-85.5, 121.5, 2.46914E-08 
-76.5, 121.5, 5.80247E-07 
-67.5, 121.5, 1.23457E-06 
-58.5, 121.5, 2.60494E-06 
-49.5, 121.5, 3.00000E-06 
-40.5, 121.5, 1.62963E-06 
-31.5, 121.5, 4.19753E-07 
-22.5, 121.5, 7.40741E-08 
-13.5, 121.5, 0.00000E+00 
-4.5, 121.5, 0.00000E+00 
4.5, 121.5, 0.00000E+00 
13.5, 121.5, 0.00000E+00 
22.5, 121.5, 0.00000E+00 
31.5, 121.5, 0.00000E+00 
40.5, 121.5, 0.00000E+00 
49.5, 121.5, 0.00000E+00 
58.5, 121.5, 4.93827E-08 
67.5, 121.5, 2.22222E-07 
76.5, 121.5, 1.04938E-06 
85.5, 121.5, 2.69136E-06 
94.5, 121.5, 4.18519E-06 
103.5, 121.5, 6.04938E-06 
112.5, 121.5, 6.62963E-06 
121.5, 121.5, 6.61728E-06 
130.5, 121.5, 4.59259E-06 
139.5, 121.5, 2.66667E-06 
148.5, 121.5, 8.27160E-07 
157.5, 121.5, 1.60494E-07 
166.5, 121.5, 3.70370E-08 
175.5, 121.5, 2.46914E-08 
-175.5, 112.5, 0.00000E+00 
-166.5, 112.5, 0.00000E+00 
-157.5, 112.5, 0.00000E+00 
-148.5, 112.5, 0.00000E+00 
-139.5, 112.5, 0.00000E+00 
-130.5, 112.5, 0.00000E+00 
-121.5, 112.5, 0.00000E+00 
-112.5, 112.5, 0.00000E+00 
-103.5, 112.5, 0.00000E+00 
-94.5, 112.5, 0.00000E+00 
-85.5, 112.5, 6.17284E-08 
-76.5, 112.5, 1.11111E-07 
-67.5, 112.5, 9.87654E-07 
-58.5, 112.5, 1.49383E-06 
-49.5, 112.5, 1.28395E-06 
-40.5, 112.5, 9.01235E-07 
-31.5, 112.5, 3.58025E-07 
-22.5, 112.5, 8.64198E-08 
-13.5, 112.5, 0.00000E+00 
-4.5, 112.5, 0.00000E+00 
4.5, 112.5, 0.00000E+00 
13.5, 112.5, 0.00000E+00 
22.5, 112.5, 0.00000E+00 
31.5, 112.5, 0.00000E+00 
40.5, 112.5, 0.00000E+00 
49.5, 112.5, 0.00000E+00 
58.5, 112.5, 2.46914E-08 
67.5, 112.5, 2.34568E-07 
76.5, 112.5, 7.53086E-07 
85.5, 112.5, 1.83951E-06 
94.5, 112.5, 2.98765E-06 
103.5, 112.5, 3.58025E-06 
112.5, 112.5, 4.53086E-06 
121.5, 112.5, 4.53086E-06 
130.5, 112.5, 3.88889E-06 
139.5, 112.5, 1.58025E-06 
148.5, 112.5, 5.30864E-07 
157.5, 112.5, 3.70370E-08 
166.5, 112.5, 1.23457E-08 
175.5, 112.5, 0.00000E+00 
-175.5, 103.5, 0.00000E+00 
-166.5, 103.5, 0.00000E+00 
-157.5, 103.5, 0.00000E+00 
-148.5, 103.5, 0.00000E+00 
-139.5, 103.5, 0.00000E+00 
-130.5, 103.5, 0.00000E+00 
-121.5, 103.5, 0.00000E+00 
-112.5, 103.5, 0.00000E+00 
-103.5, 103.5, 0.00000E+00 
-94.5, 103.5, 0.00000E+00 
-85.5, 103.5, 3.70370E-08 
-76.5, 103.5, 7.40741E-08 
-67.5, 103.5, 3.45679E-07 
-58.5, 103.5, 4.44444E-07 
-49.5, 103.5, 5.06173E-07 
-40.5, 103.5, 2.71605E-07 
-31.5, 103.5, 8.64198E-08 
-22.5, 103.5, 4.93827E-08 
-13.5, 103.5, 3.70370E-08 
-4.5, 103.5, 0.00000E+00 
4.5, 103.5, 1.23457E-08 
13.5, 103.5, 0.00000E+00 
22.5, 103.5, 0.00000E+00 
31.5, 103.5, 0.00000E+00 
40.5, 103.5, 0.00000E+00 
49.5, 103.5, 1.23457E-08 
58.5, 103.5, 2.46914E-08 
67.5, 103.5, 2.59259E-07 
76.5, 103.5, 7.90123E-07 
85.5, 103.5, 1.24691E-06 
94.5, 103.5, 1.74074E-06 
103.5, 103.5, 2.54321E-06 
112.5, 103.5, 3.09877E-06 
121.5, 103.5, 3.28395E-06 
130.5, 103.5, 2.43210E-06 
139.5, 103.5, 1.09877E-06 
148.5, 103.5, 5.30864E-07 
157.5, 103.5, 8.64198E-08 
166.5, 103.5, 3.70370E-08 
175.5, 103.5, 0.00000E+00 
-175.5, 94.5, 0.00000E+00 
-166.5, 94.5, 0.00000E+00 
-157.5, 94.5, 0.00000E+00 
-148.5, 94.5, 0.00000E+00 
-139.5, 94.5, 0.00000E+00 
-130.5, 94.5, 0.00000E+00 
-121.5, 94.5, 0.00000E+00 
-112.5, 94.5, 0.00000E+00 
-103.5, 94.5, 0.00000E+00 
-94.5, 94.5, 0.00000E+00 
-85.5, 94.5, 0.00000E+00 
-76.5, 94.5, 1.11111E-07 
-67.5, 94.5, 3.08642E-07 
-58.5, 94.5, 3.70370E-07 
-49.5, 94.5, 1.35802E-07 
-40.5, 94.5, 4.93827E-08 
-31.5, 94.5, 3.70370E-08 
-22.5, 94.5, 3.70370E-08 
-13.5, 94.5, 0.00000E+00 
-4.5, 94.5, 2.46914E-08 
4.5, 94.5, 0.00000E+00 
13.5, 94.5, 0.00000E+00 
22.5, 94.5, 0.00000E+00 
31.5, 94.5, 0.00000E+00 
40.5, 94.5, 1.23457E-08 
49.5, 94.5, 3.70370E-08 
58.5, 94.5, 1.60494E-07 
67.5, 94.5, 4.69136E-07 
76.5, 94.5, 8.39506E-07 
85.5, 94.5, 1.39506E-06 
94.5, 94.5, 1.80247E-06 
103.5, 94.5, 1.87654E-06 
112.5, 94.5, 2.38272E-06 
121.5, 94.5, 2.18519E-06 
130.5, 94.5, 1.98765E-06 
139.5, 94.5, 1.11111E-06 
148.5, 94.5, 4.32099E-07 
157.5, 94.5, 1.11111E-07 
166.5, 94.5, 3.70370E-08 
175.5, 94.5, 0.00000E+00 
-175.5, 85.5, 0.00000E+00 
-166.5, 85.5, 0.00000E+00 
-157.5, 85.5, 0.00000E+00 
-148.5, 85.5, 0.00000E+00 
-139.5, 85.5, 0.00000E+00 
-130.5, 85.5, 0.00000E+00 
-121.5, 85.5, 0.00000E+00 
-112.5, 85.5, 0.00000E+00 
-103.5, 85.5, 0.00000E+00 
-94.5, 85.5, 1.23457E-08 
-85.5, 85.5, 0.00000E+00 
-76.5, 85.5, 3.70370E-08 
-67.5, 85.5, 2.71605E-07 
-58.5, 85.5, 1.60494E-07 
-49.5, 85.5, 1.11111E-07 
-40.5, 85.5, 1.23457E-08 
-31.5, 85.5, 2.46914E-08 
-22.5, 85.5, 0.00000E+00 
-13.5, 85.5, 0.00000E+00 
-4.5, 85.5, 0.00000E+00 
4.5, 85.5, 0.00000E+00 
13.5, 85.5, 0.00000E+00 
22.5, 85.5, 2.46914E-08 
31.5, 85.5, 1.23457E-08 
40.5, 85.5, 7.40741E-08 
49.5, 85.5, 1.11111E-07 
58.5, 85.5, 3.33333E-07 
67.5, 85.5, 8.51852E-07 
76.5, 85.5, 1.33333E-06 
85.5, 85.5, 1.67901E-06 
94.5, 85.5, 2.01235E-06 
103.5, 85.5, 2.29630E-06 
112.5, 85.5, 2.83951E-06 
121.5, 85.5, 2.44444E-06 
130.5, 85.5, 1.87654E-06 
139.5, 85.5, 1.22222E-06 
148.5, 85.5, 3.82716E-07 
157.5, 85.5, 1.97531E-07 
166.5, 85.5, 9.87654E-08 
175.5, 85.5, 0.00000E+00 
-175.5, 76.5, 0.00000E+00 
-166.5, 76.5, 0.00000E+00 
-157.5, 76.5, 0.00000E+00 
-148.5, 76.5, 0.00000E+00 
-139.5, 76.5, 0.00000E+00 
-130.5, 76.5, 0.00000E+00 
-121.5, 76.5, 0.00000E+00 
-112.5, 76.5, 0.00000E+00 
-103.5, 76.5, 0.00000E+00 
-94.5, 76.5, 1.23457E-08 
-85.5, 76.5, 3.70370E-08 
-76.5, 76.5, 2.09877E-07 
-67.5, 76.5, 5.06173E-07 
-58.5, 76.5, 3.58025E-07 
-49.5, 76.5, 1.35802E-07 
-40.5, 76.5, 2.46914E-08 
-31.5, 76.5, 0.00000E+00 
-22.5, 76.5, 1.23457E-08 
-13.5, 76.5, 0.00000E+00 
-4.5, 76.5, 1.23457E-08 
4.5, 76.5, 0.00000E+00 
13.5, 76.5, 0.00000E+00 
22.5, 76.5, 1.23457E-08 
31.5, 76.5, 1.72840E-07 
40.5, 76.5, 2.46914E-07 
49.5, 76.5, 8.27160E-07 
58.5, 76.5, 1.88889E-06 
67.5, 76.5, 3.12346E-06 
76.5, 76.5, 3.83951E-06 
85.5, 76.5, 3.75309E-06 
94.5, 76.5, 3.43210E-06 
103.5, 76.5, 4.11111E-06 
112.5, 76.5, 3.87654E-06 
121.5, 76.5, 3.72840E-06 
130.5, 76.5, 2.64198E-06 
139.5, 76.5, 1.61728E-06 
148.5, 76.5, 7.28395E-07 
157.5, 76.5, 5.55556E-07 
166.5, 76.5, 1.72840E-07 
175.5, 76.5, 2.46914E-08 
-175.5, 67.5, 1.23457E-08 
-166.5, 67.5, 0.00000E+00 
-157.5, 67.5, 0.00000E+00 
-148.5, 67.5, 0.00000E+00 
-139.5, 67.5, 0.00000E+00 
-130.5, 67.5, 0.00000E+00 
-121.5, 67.5, 0.00000E+00 
-112.5, 67.5, 0.00000E+00 
-103.5, 67.5, 0.00000E+00 
-94.5, 67.5, 0.00000E+00 
-85.5, 67.5, 1.85185E-07 
-76.5, 67.5, 6.41975E-07 
-67.5, 67.5, 9.01235E-07 
-58.5, 67.5, 4.19753E-07 
-49.5, 67.5, 9.87654E-08 
-40.5, 67.5, 1.23457E-08 
-31.5, 67.5, 0.00000E+00 
-22.5, 67.5, 0.00000E+00 
-13.5, 67.5, 0.00000E+00 
-4.5, 67.5, 0.00000E+00 
4.5, 67.5, 0.00000E+00 
13.5, 67.5, 1.23457E-08 
22.5, 67.5, 9.87654E-08 
31.5, 67.5, 3.82716E-07 
40.5, 67.5, 1.55556E-06 
49.5, 67.5, 4.01235E-06 
58.5, 67.5, 8.51852E-06 
67.5, 67.5, 1.10000E-05 
76.5, 67.5, 1.19877E-05 
85.5, 67.5, 9.74074E-06 
94.5, 67.5, 9.11111E-06 
103.5, 67.5, 6.96296E-06 
112.5, 67.5, 6.91358E-06 
121.5, 67.5, 5.44444E-06 
130.5, 67.5, 4.48148E-06 
139.5, 67.5, 2.67901E-06 
148.5, 67.5, 1.44444E-06 
157.5, 67.5, 8.51852E-07 
166.5, 67.5, 3.95062E-07 
175.5, 67.5, 3.70370E-08 
-175.5, 58.5, 1.23457E-08 
-166.5, 58.5, 0.00000E+00 
-157.5, 58.5, 0.00000E+00 
-148.5, 58.5, 0.00000E+00 
-139.5, 58.5, 0.00000E+00 
-130.5, 58.5, 0.00000E+00 
-121.5, 58.5, 0.00000E+00 
-112.5, 58.5, 0.00000E+00 
-103.5, 58.5, 0.00000E+00 
-94.5, 58.5, 2.46914E-08 
-85.5, 58.5, 1.85185E-07 
-76.5, 58.5, 1.04938E-06 
-67.5, 58.5, 1.62963E-06 
-58.5, 58.5, 5.92593E-07 
-49.5, 58.5, 1.11111E-07 
-40.5, 58.5, 1.23457E-08 
-31.5, 58.5, 0.00000E+00 
-22.5, 58.5, 0.00000E+00 
-13.5, 58.5, 0.00000E+00 
-4.5, 58.5, 0.00000E+00 
4.5, 58.5, 0.00000E+00 
13.5, 58.5, 0.00000E+00 
22.5, 58.5, 2.09877E-07 
31.5, 58.5, 1.18519E-06 
40.5, 58.5, 4.51852E-06 
49.5, 58.5, 1.35802E-05 
58.5, 58.5, 2.57778E-05 
67.5, 58.5, 3.42099E-05 
76.5, 58.5, 3.25556E-05 
85.5, 58.5, 2.48889E-05 
94.5, 58.5, 1.86790E-05 
103.5, 58.5, 1.39383E-05 
112.5, 58.5, 1.17284E-05 
121.5, 58.5, 9.13580E-06 
130.5, 58.5, 5.40741E-06 
139.5, 58.5, 3.19753E-06 
148.5, 58.5, 1.55556E-06 
157.5, 58.5, 1.02469E-06 
166.5, 58.5, 3.08642E-07 
175.5, 58.5, 8.64198E-08 
-175.5, 49.5, 0.00000E+00 
-166.5, 49.5, 0.00000E+00 
-157.5, 49.5, 0.00000E+00 
-148.5, 49.5, 0.00000E+00 
-139.5, 49.5, 0.00000E+00 
-130.5, 49.5, 0.00000E+00 
-121.5, 49.5, 0.00000E+00 
-112.5, 49.5, 0.00000E+00 
-103.5, 49.5, 0.00000E+00 
-94.5, 49.5, 4.93827E-08 
-85.5, 49.5, 1.85185E-07 
-76.5, 49.5, 1.13580E-06 
-67.5, 49.5, 1.55556E-06 
-58.5, 49.5, 6.17284E-07 
-49.5, 49.5, 4.93827E-08 
-40.5, 49.5, 2.46914E-08 
-31.5, 49.5, 0.00000E+00 
-22.5, 49.5, 0.00000E+00 
-13.5, 49.5, 0.00000E+00 
-4.5, 49.5, 0.00000E+00 
4.5, 49.5, 0.00000E+00 
13.5, 49.5, 0.00000E+00 
22.5, 49.5, 6.17284E-08 
31.5, 49.5, 8.76543E-07 
40.5, 49.5, 6.33333E-06 
49.5, 49.5, 2.37654E-05 
58.5, 49.5, 5.26543E-05 
67.5, 49.5, 6.96543E-05 
76.5, 49.5, 6.48889E-05 
85.5, 49.5, 4.78765E-05 
94.5, 49.5, 3.24444E-05 
103.5, 49.5, 2.41852E-05 
112.5, 49.5, 1.69630E-05 
121.5, 49.5, 1.10617E-05 
130.5, 49.5, 7.02469E-06 
139.5, 49.5, 3.46914E-06 
148.5, 49.5, 1.37037E-06 
157.5, 49.5, 7.03704E-07 
166.5, 49.5, 1.72840E-07 
175.5, 49.5, 3.70370E-08 
-175.5, 40.5, 0.00000E+00 
-166.5, 40.5, 0.00000E+00 
-157.5, 40.5, 0.00000E+00 
-148.5, 40.5, 0.00000E+00 
-139.5, 40.5, 0.00000E+00 
-130.5, 40.5, 0.00000E+00 
-121.5, 40.5, 0.00000E+00 
-112.5, 40.5, 0.00000E+00 
-103.5, 40.5, 1.23457E-08 
-94.5, 40.5, 2.46914E-08 
-85.5, 40.5, 2.46914E-07 
-76.5, 40.5, 1.08642E-06 
-67.5, 40.5, 1.28395E-06 
-58.5, 40.5, 3.95062E-07 
-49.5, 40.5, 1.35802E-07 
-40.5, 40.5, 1.23457E-08 
-31.5, 40.5, 0.00000E+00 
-22.5, 40.5, 0.00000E+00 
-13.5, 40.5, 0.00000E+00 
-4.5, 40.5, 0.00000E+00 
4.5, 40.5, 0.00000E+00 
13.5, 40.5, 0.00000E+00 
22.5, 40.5, 2.46914E-08 
31.5, 40.5, 2.83951E-07 
40.5, 40.5, 3.77778E-06 
49.5, 40.5, 2.19383E-05 
58.5, 40.5, 6.20247E-05 
67.5, 40.5, 9.01852E-05 
76.5, 40.5, 8.43827E-05 
85.5, 40.5, 6.27778E-05 
94.5, 40.5, 4.21852E-05 
103.5, 40.5, 2.90741E-05 
112.5, 40.5, 1.90370E-05 
121.5, 40.5, 1.28519E-05 
130.5, 40.5, 6.70370E-06 
139.5, 40.5, 2.76543E-06 
148.5, 40.5, 1.08642E-06 
157.5, 40.5, 4.07407E-07 
166.5, 40.5, 1.48148E-07 
175.5, 40.5, 2.46914E-08 
-175.5, 31.5, 0.00000E+00 
-166.5, 31.5, 0.00000E+00 
-157.5, 31.5, 0.00000E+00 
-148.5, 31.5, 0.00000E+00 
-139.5, 31.5, 0.00000E+00 
-130.5, 31.5, 0.00000E+00 
-121.5, 31.5, 0.00000E+00 
-112.5, 31.5, 0.00000E+00 
-103.5, 31.5, 0.00000E+00 
-94.5, 31.5, 1.23457E-08 
-85.5, 31.5, 2.46914E-07 
-76.5, 31.5, 7.16049E-07 
-67.5, 31.5, 1.27160E-06 
-58.5, 31.5, 4.07407E-07 
-49.5, 31.5, 1.35802E-07 
-40.5, 31.5, 0.00000E+00 
-31.5, 31.5, 0.00000E+00 
-22.5, 31.5, 0.00000E+00 
-13.5, 31.5, 0.00000E+00 
-4.5, 31.5, 0.00000E+00 
4.5, 31.5, 0.00000E+00 
13.5, 31.5, 0.00000E+00 
22.5, 31.5, 1.23457E-08 
31.5, 31.5, 1.23457E-08 
40.5, 31.5, 1.33333E-06 
49.5, 31.5, 1.11975E-05 
58.5, 31.5, 4.09012E-05 
67.5, 31.5, 7.69259E-05 
76.5, 31.5, 8.10741E-05 
85.5, 31.5, 6.08395E-05 
94.5, 31.5, 4.33457E-05 
103.5, 31.5, 2.98148E-05 
112.5, 31.5, 2.12963E-05 
121.5, 31.5, 1.32963E-05 
130.5, 31.5, 7.50617E-06 
139.5, 31.5, 2.85185E-06 
148.5, 31.5, 9.25926E-07 
157.5, 31.5, 2.22222E-07 
166.5, 31.5, 6.17284E-08 
175.5, 31.5, 1.23457E-08 
-175.5, 22.5, 0.00000E+00 
-166.5, 22.5, 0.00000E+00 
-157.5, 22.5, 0.00000E+00 
-148.5, 22.5, 0.00000E+00 
-139.5, 22.5, 0.00000E+00 
-130.5, 22.5, 0.00000E+00 
-121.5, 22.5, 0.00000E+00 
-112.5, 22.5, 0.00000E+00 
-103.5, 22.5, 0.00000E+00 
-94.5, 22.5, 3.70370E-08 
-85.5, 22.5, 2.09877E-07 
-76.5, 22.5, 7.53086E-07 
-67.5, 22.5, 9.62963E-07 
-58.5, 22.5, 3.20988E-07 
-49.5, 22.5, 7.40741E-08 
-40.5, 22.5, 0.00000E+00 
-31.5, 22.5, 0.00000E+00 
-22.5, 22.5, 0.00000E+00 
-13.5, 22.5, 0.00000E+00 
-4.5, 22.5, 0.00000E+00 
4.5, 22.5, 0.00000E+00 
13.5, 22.5, 0.00000E+00 
22.5, 22.5, 0.00000E+00 
31.5, 22.5, 0.00000E+00 
40.5, 22.5, 2.22222E-07 
49.5, 22.5, 3.20988E-06 
58.5, 22.5, 2.13704E-05 
67.5, 22.5, 5.05185E-05 
76.5, 22.5, 6.50617E-05 
85.5, 22.5, 5.51481E-05 
94.5, 22.5, 4.25679E-05 
103.5, 22.5, 3.22963E-05 
112.5, 22.5, 2.42963E-05 
121.5, 22.5, 1.53951E-05 
130.5, 22.5, 7.55556E-06 
139.5, 22.5, 2.58025E-06 
